ClassName,AttackerName,ActiveTime
CommandPattern.Idle,2pPlayer,1.979999
CommandPattern.ForwardWalk,1pPlayer,1.999999
CommandPattern.Idle,2pPlayer,1.999999
CommandPattern.ForwardWalk,1pPlayer,2.019999
CommandPattern.Idle,2pPlayer,2.019999
CommandPattern.ForwardWalk,1pPlayer,2.039999
CommandPattern.Idle,2pPlayer,2.039999
CommandPattern.ForwardWalk,1pPlayer,2.059999
CommandPattern.Idle,2pPlayer,2.059999
CommandPattern.ForwardWalk,1pPlayer,2.079999
CommandPattern.Idle,2pPlayer,2.079999
CommandPattern.ForwardWalk,1pPlayer,2.099999
CommandPattern.Idle,2pPlayer,2.099999
CommandPattern.ForwardWalk,1pPlayer,2.119999
CommandPattern.Idle,2pPlayer,2.119999
CommandPattern.ForwardWalk,1pPlayer,2.139999
CommandPattern.Idle,2pPlayer,2.139999
CommandPattern.ForwardWalk,1pPlayer,2.159999
CommandPattern.Idle,2pPlayer,2.159999
CommandPattern.ForwardWalk,1pPlayer,2.179999
CommandPattern.Idle,2pPlayer,2.179999
CommandPattern.ForwardWalk,1pPlayer,2.199999
CommandPattern.Idle,2pPlayer,2.199999
CommandPattern.ForwardWalk,1pPlayer,2.219999
CommandPattern.Idle,2pPlayer,2.219999
CommandPattern.ForwardWalk,1pPlayer,2.239999
CommandPattern.Idle,2pPlayer,2.239999
CommandPattern.ForwardWalk,1pPlayer,2.259999
CommandPattern.Idle,2pPlayer,2.259999
CommandPattern.ForwardWalk,1pPlayer,2.279999
CommandPattern.Idle,2pPlayer,2.279999
CommandPattern.ForwardWalk,1pPlayer,2.299999
CommandPattern.Idle,2pPlayer,2.299999
CommandPattern.ForwardWalk,1pPlayer,2.319999
CommandPattern.Idle,2pPlayer,2.319999
CommandPattern.ForwardWalk,1pPlayer,2.339998
CommandPattern.Idle,2pPlayer,2.339998
CommandPattern.ForwardWalk,1pPlayer,2.359998
CommandPattern.Idle,2pPlayer,2.359998
CommandPattern.ForwardWalk,1pPlayer,2.379998
CommandPattern.Idle,2pPlayer,2.379998
CommandPattern.ForwardWalk,1pPlayer,2.399998
CommandPattern.Idle,2pPlayer,2.399998
CommandPattern.ForwardWalk,1pPlayer,2.419998
CommandPattern.Idle,2pPlayer,2.419998
CommandPattern.ForwardWalk,1pPlayer,2.439998
CommandPattern.Idle,2pPlayer,2.439998
CommandPattern.ForwardWalk,1pPlayer,2.459998
CommandPattern.Idle,2pPlayer,2.459998
CommandPattern.ForwardWalk,1pPlayer,2.479998
CommandPattern.Idle,2pPlayer,2.479998
CommandPattern.ForwardWalk,1pPlayer,2.499998
CommandPattern.Idle,2pPlayer,2.499998
CommandPattern.ForwardWalk,1pPlayer,2.519998
CommandPattern.Idle,2pPlayer,2.519998
CommandPattern.ForwardWalk,1pPlayer,2.539998
CommandPattern.Idle,2pPlayer,2.539998
CommandPattern.ForwardWalk,1pPlayer,2.559998
CommandPattern.Idle,2pPlayer,2.559998
CommandPattern.ForwardWalk,1pPlayer,2.579998
